70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
3.33E-17,,3.33E-17,,3.33E-17,,3.33E-17,,3.33E-17,3.33E-17,,3.33E-17,3.33E-17,,,3.33E-17,,,3.33E-17,3.33E-17
-4.66E-08,,-4.77E-08,,-4.89E-08,,-4.73E-08,,-4.83E-08,-4.89E-08,,-4.76E-08,-4.81E-08,,,-4.77E-08,,,-4.85E-08,-4.89E-08
5.81E-08,,5.67E-08,,5.52E-08,,5.72E-08,,5.60E-08,5.52E-08,,5.68E-08,5.62E-08,,,5.67E-08,,,5.57E-08,5.52E-08
-2.47E-08,,-2.54E-08,,-2.62E-08,,-2.53E-08,,-2.59E-08,-2.63E-08,,-2.56E-08,-2.58E-08,,,-2.56E-08,,,-2.61E-08,-2.63E-08
-3.46E-08,,-3.47E-08,,-3.48E-08,,-3.48E-08,,-3.48E-08,-3.49E-08,,-3.48E-08,-3.49E-08,,,-3.49E-08,,,-3.49E-08,-3.49E-08
3.13E-08,,3.10E-08,,3.08E-08,,3.15E-08,,3.12E-08,3.11E-08,,3.16E-08,3.14E-08,,,3.16E-08,,,3.14E-08,3.13E-08
-1.06E-08,,-1.13E-08,,-1.17E-08,,-1.18E-08,,-1.21E-08,-1.24E-08,,-1.23E-08,-1.24E-08,,,-1.25E-08,,,-1.27E-08,-1.28E-08
7.66E-09,,6.55E-09,,5.72E-09,,4.00E-09,,3.49E-09,3.11E-09,,2.48E-09,2.26E-09,,,1.64E-09,,,1.38E-09,1.30E-09
-6.89E-09,,-5.95E-09,,-5.35E-09,,-3.45E-09,,-3.10E-09,-2.83E-09,,-1.99E-09,-1.88E-09,,,-1.26E-09,,,-1.08E-09,-1.07E-09
3.04E-09,,2.36E-09,,1.76E-09,,1.57E-09,,1.19E-09,9.04E-10,,1.02E-09,7.95E-10,,,7.26E-10,,,4.13E-10,3.01E-10
