70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-2.49E-05,-3.12E-05,-3.06E-05,-2.71E-05,-2.32E-05,-1.43E-06,-2.99E-05,-2.77E-05,-2.62E-05,-2.49E-05,-2.49E-05,-2.64E-05,-2.72E-05,-2.58E-05,-2.49E-05,-2.49E-05,-2.49E-05,-2.56E-05,-2.51E-05,-2.49E-05
-1.55E-05,-2.35E-05,-2.45E-05,-1.89E-05,-1.40E-05,-4.11E-06,-2.20E-05,-2.11E-05,-1.77E-05,-1.54E-05,-1.55E-05,-2.33E-05,-2.03E-05,-1.72E-05,-1.54E-05,-1.54E-05,-1.54E-05,-1.83E-05,-1.64E-05,-1.54E-05
-6.55E-06,-1.67E-05,-1.93E-05,-1.10E-05,-4.96E-06,-7.86E-06,-1.47E-05,-1.51E-05,-9.62E-06,-6.01E-06,-6.26E-06,-2.12E-05,-1.41E-05,-8.96E-06,-6.01E-06,-6.01E-06,-6.01E-06,-1.15E-05,-7.91E-06,-6.01E-06
-1.47E-06,-1.36E-05,-1.70E-05,-6.52E-06,7.01E-07,-1.28E-05,-1.11E-05,-1.22E-05,-4.87E-06,-1.58E-07,-7.73E-07,-2.13E-05,-1.08E-05,-4.08E-06,-1.58E-07,-1.58E-07,-1.58E-07,-7.81E-06,-2.83E-06,-1.58E-07
-2.64E-06,-1.60E-05,-1.92E-05,-7.38E-06,7.01E-07,-1.84E-05,-1.30E-05,-1.38E-05,-5.55E-06,-1.75E-07,-1.34E-06,-2.41E-05,-1.23E-05,-4.67E-06,-1.75E-07,-1.75E-07,-1.75E-07,-8.87E-06,-3.26E-06,-1.75E-07
-4.31E-06,-1.84E-05,-2.10E-05,-8.04E-06,7.77E-07,-2.43E-05,-1.49E-05,-1.53E-05,-6.05E-06,-6.47E-08,-2.07E-06,-2.66E-05,-1.35E-05,-5.10E-06,-6.47E-08,-6.49E-08,-6.49E-08,-9.75E-06,-3.56E-06,-6.47E-08
-6.63E-06,-2.13E-05,-2.28E-05,-8.72E-06,7.65E-07,-3.05E-05,-1.71E-05,-1.67E-05,-6.59E-06,-2.97E-08,-3.14E-06,-2.91E-05,-1.47E-05,-5.58E-06,-2.97E-08,-3.00E-08,-2.99E-08,-1.07E-05,-3.94E-06,-2.97E-08
-9.57E-06,-2.46E-05,-2.46E-05,-9.42E-06,7.17E-07,-3.68E-05,-1.96E-05,-1.82E-05,-7.14E-06,-2.23E-08,-4.53E-06,-3.18E-05,-1.60E-05,-6.09E-06,-2.23E-08,-2.25E-08,-2.25E-08,-1.17E-05,-4.34E-06,-2.23E-08
-1.31E-05,-2.84E-05,-2.64E-05,-1.01E-05,6.60E-07,-4.33E-05,-2.25E-05,-1.97E-05,-7.70E-06,-1.77E-08,-6.22E-06,-3.47E-05,-1.73E-05,-6.61E-06,-1.77E-08,-1.79E-08,-1.78E-08,-1.26E-05,-4.76E-06,-1.77E-08
-1.76E-05,-3.27E-05,-2.82E-05,-1.08E-05,5.99E-07,-5.00E-05,-2.58E-05,-2.12E-05,-8.25E-06,-1.36E-08,-8.34E-06,-3.80E-05,-1.86E-05,-7.14E-06,-1.36E-08,-1.38E-08,-1.38E-08,-1.37E-05,-5.19E-06,-1.36E-08
-2.30E-05,-3.78E-05,-3.00E-05,-1.15E-05,5.43E-07,-5.70E-05,-2.96E-05,-2.28E-05,-8.81E-06,-1.06E-08,-1.09E-05,-4.15E-05,-2.00E-05,-7.69E-06,-1.06E-08,-1.08E-08,-1.08E-08,-1.47E-05,-5.65E-06,-1.06E-08
-2.92E-05,-4.34E-05,-3.19E-05,-1.22E-05,4.89E-07,-6.42E-05,-3.40E-05,-2.44E-05,-9.38E-06,-8.23E-09,-1.39E-05,-4.52E-05,-2.15E-05,-8.25E-06,-8.23E-09,-8.51E-09,-8.52E-09,-1.58E-05,-6.12E-06,-8.23E-09
-3.63E-05,-4.97E-05,-3.38E-05,-1.29E-05,4.39E-07,-7.18E-05,-3.87E-05,-2.61E-05,-9.97E-06,-6.49E-09,-1.73E-05,-4.91E-05,-2.30E-05,-8.84E-06,-6.50E-09,-6.71E-09,-6.71E-09,-1.70E-05,-6.61E-06,-6.50E-09
-4.46E-05,-5.68E-05,-3.58E-05,-1.36E-05,3.96E-07,-7.97E-05,-4.42E-05,-2.78E-05,-1.06E-05,-5.22E-09,-2.13E-05,-5.32E-05,-2.46E-05,-9.45E-06,-5.23E-09,-5.49E-09,-5.45E-09,-1.82E-05,-7.13E-06,-5.22E-09
-5.41E-05,-6.49E-05,-3.78E-05,-1.43E-05,3.56E-07,-8.82E-05,-5.04E-05,-2.97E-05,-1.12E-05,-4.29E-09,-2.59E-05,-5.75E-05,-2.64E-05,-1.01E-05,-4.29E-09,-4.65E-09,-4.61E-09,-1.95E-05,-7.69E-06,-4.29E-09
-6.47E-05,-7.38E-05,-4.00E-05,-1.51E-05,3.21E-07,-9.75E-05,-5.71E-05,-3.17E-05,-1.19E-05,-3.52E-09,-3.11E-05,-6.21E-05,-2.82E-05,-1.08E-05,-3.52E-09,-3.93E-09,-3.93E-09,-2.09E-05,-8.29E-06,-3.52E-09
-7.63E-05,-8.35E-05,-4.22E-05,-1.59E-05,2.89E-07,-0.000107266179,-6.46E-05,-3.38E-05,-1.27E-05,-2.89E-09,-3.69E-05,-6.69E-05,-3.02E-05,-1.16E-05,-2.89E-09,-3.14E-09,-3.14E-09,-2.24E-05,-8.92E-06,-2.89E-09
-8.92E-05,-9.41E-05,-4.46E-05,-1.67E-05,2.61E-07,-0.0001175823605,-7.28E-05,-3.60E-05,-1.35E-05,-2.37E-09,-4.33E-05,-7.21E-05,-3.24E-05,-1.24E-05,-2.37E-09,-2.52E-09,-2.61E-09,-2.40E-05,-9.61E-06,-2.36E-09
-0.0001035595162,-0.0001058762376,-4.72E-05,-1.77E-05,2.40E-07,-0.0001283230385,-8.20E-05,-3.85E-05,-1.43E-05,-1.94E-09,-5.05E-05,-7.80E-05,-3.48E-05,-1.33E-05,-1.94E-09,-2.30E-09,-2.38E-09,-2.58E-05,-1.04E-05,-1.93E-09
-0.0001190755557,-0.0001187899659,-5.01E-05,-1.87E-05,2.20E-07,-0.0001396543771,-9.20E-05,-4.11E-05,-1.53E-05,-1.57E-09,-5.84E-05,-8.43E-05,-3.74E-05,-1.42E-05,-1.56E-09,-2.03E-09,-2.13E-09,-2.78E-05,-1.12E-05,-1.55E-09
-0.0001357564968,-0.0001324028067,-5.31E-05,-1.98E-05,2.04E-07,-0.0001516874584,-0.0001026512378,-4.40E-05,-1.63E-05,-1.25E-09,-6.68E-05,-9.11E-05,-4.02E-05,-1.53E-05,-1.23E-09,-1.53E-09,-1.63E-09,-2.99E-05,-1.21E-05,-1.22E-09
